"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",-156.441,20.654,4,"Carcharhinus longimanus"
"gbif",-156.497,20.6336,12.5,"Carcharhinus longimanus"
"gbif",151.837,7.19083,10.67,"Carcharhinus longimanus"
"gbif",-26.783472,13.883472,NA,"Carcharhinus longimanus"
"gbif",73.5162,4.22324,13.5,"Carcharhinus longimanus"
"gbif",-16.566807,7.633472,NA,"Carcharhinus longimanus"
"gbif",-16.283472,8.816806,NA,"Carcharhinus longimanus"
"gbif",-158.131,21.3572,3.505,"Carcharhinus longimanus"
"gbif",-155.583,19.8968,50,"Carcharhinus longimanus"
"gbif",-155.583,19.8968,20,"Carcharhinus longimanus"
"gbif",-158.13,21.354,4.1,"Carcharhinus longimanus"
"gbif",-157.859,21.2863,6.555,"Carcharhinus longimanus"
"gbif",72.7274,3.88565,16,"Carcharhinus longimanus"
"gbif",72.9122,3.94229,15,"Carcharhinus longimanus"
"gbif",72.9576,4.06078,12,"Carcharhinus longimanus"
"gbif",-157.846,21.283,4.51,"Carcharhinus longimanus"
"gbif",61.716805,-4.733472,NA,"Carcharhinus longimanus"
"gbif",39.7314,-4.05581,10.5,"Carcharhinus longimanus"
"gbif",-37.354,-0.501,NA,"Carcharhinus longimanus"
"gbif",-37.534,-0.736,NA,"Carcharhinus longimanus"
"gbif",-37.629,-0.435,NA,"Carcharhinus longimanus"
"gbif",-37.983,-2.403,NA,"Carcharhinus longimanus"
"gbif",97.8006,8.82823,5,"Carcharhinus longimanus"
"gbif",55.9242,-4.35631,10,"Carcharhinus longimanus"
"gbif",-16.033472,8.366806,NA,"Carcharhinus longimanus"
"gbif",105.612,-10.4311,10,"Carcharhinus longimanus"
"gbif",52.866802,2.750139,NA,"Carcharhinus longimanus"
"gbif",52.816803,1.216806,NA,"Carcharhinus longimanus"
"gbif",51.566803,0.733472,NA,"Carcharhinus longimanus"
"gbif",34.860435,25.309503,NA,"Carcharhinus longimanus"
"gbif",12.750139,-10.116806,NA,"Carcharhinus longimanus"
"gbif",11.85014,-9.833472,NA,"Carcharhinus longimanus"
"gbif",0.106142,5.71491,NA,"Carcharhinus longimanus"
"gbif",-34.218,-0.139,NA,"Carcharhinus longimanus"
"gbif",50.33347,-2.466806,NA,"Carcharhinus longimanus"
"gbif",57.883472,-10.950139,NA,"Carcharhinus longimanus"
"gbif",48.850136,-9.133472,NA,"Carcharhinus longimanus"
"gbif",35.50786,-21.31902,NA,"Carcharhinus longimanus"
"gbif",54.43347,-1.300139,NA,"Carcharhinus longimanus"
"gbif",-36,33,NA,"Carcharhinus longimanus"
"gbif",46.566803,-2.700139,NA,"Carcharhinus longimanus"
"gbif",53.350136,-3.250139,NA,"Carcharhinus longimanus"
"gbif",52.366802,-1.666806,NA,"Carcharhinus longimanus"
"gbif",52.300137,-1.800139,NA,"Carcharhinus longimanus"
"gbif",48.98347,-2.133472,NA,"Carcharhinus longimanus"
"gbif",51.633472,1.716806,NA,"Carcharhinus longimanus"
"gbif",51.53347,1.633472,NA,"Carcharhinus longimanus"
"gbif",51.450138,1.400139,NA,"Carcharhinus longimanus"
"gbif",10.300139,-4.316805,NA,"Carcharhinus longimanus"
"gbif",55.841087,20.724283,NA,"Carcharhinus longimanus"
"gbif",155.32,-24.425,485,"Carcharhinus longimanus"
